first_name;last_name;last_name_first_name;no_hit;more_than_one_hit;orcid_id;orcid_record_person_identified;orcid_records_works_listed;notes;gender;level;e_name;e_type;e_city;e_region;e_country;source;date_of_input;coder
Juliane;Achatz;Achatz, Juliane;WAHR;FALSCH;;FALSCH;FALSCH;;F;NaN;Institut für Arbeitsmarkt- und Berufsforschung (IAB);Forschungszentrum;Nürnberg;Bayern;DE;https://iab-forum.de/autor/juliane-achatz/;24.05.26;Lukas
Silke;Aisenbrey;Aisenbrey, Silke;FALSCH;FALSCH;0000-0001-9878-0866;FALSCH;FALSCH;;F;Prof;Yeshiva University;Uni;New York;New York;US;https://yeshiva.academia.edu/SilkeAisenbrey/CurriculumVitae;24.05.26;Lukas
Annette von;Alemann;Alemann, Annette von;FALSCH;FALSCH;0000-0001-5741-6267;WAHR;FALSCH;verstorben;F;Prof;Universität Duisburg-Essen;Uni;Duisburg;Nordrhein-Westfalen;DE;https://www.uni-due.de/2024-08-13-ude-trauert-um-annette-von-alemann;24.05.26;Lukas
Agnieszka;Althaber;Althaber, Agnieszka;FALSCH;FALSCH;0000-0002-3707-9475;FALSCH;WAHR;;F;Postdoc;Ludwig-Maximilians-Universität München;Uni;Munich;Bayern;DE;https://www.soziologie.lmu.de/de/das-institut/personen/kontaktseite/agnieszka-althaber-6b3f7c80.html;24.05.26;Lukas
Jens;Ambrasat;Ambrasat, Jens;FALSCH;FALSCH;0000-0002-8257-1338;WAHR;WAHR;;M;Postdoc;Humboldt-Universität zu Berlin;Uni;Berlin;Berlin;DE;https://www.rmz.hu-berlin.de/de/personen/dr-jens-ambrasat;24.05.26;Lukas
Anna;Amelina;Amelina, Anna;FALSCH;WAHR;;FALSCH;FALSCH;;F;Prof;Technische Universität Chemnitz;Uni;Chemnitz;Sachsen;DE;https://www.tu-chemnitz.de/phil/ifgk/ikk/professur/prof.html;24.05.26;Lukas
H. Lukas R.;Arndt;Arndt, H. Lukas R.;FALSCH;FALSCH;0009-0001-3169-6755;FALSCH;FALSCH;;M;Postdoc;NaN;NaN;NaN;NaN;NaN;https://scholar.google.com/citations?user=0i7GnxwAAAAJ&hl=de;24.05.26;Lukas
Brigitte;Aulenbacher;Aulenbacher, Brigitte;FALSCH;FALSCH;0000-0003-2281-1237;WAHR;WAHR;ruhestand;F;Prof;Johannes Kepler Universität Linz Institut für Soziologie;Uni;Linz;Oberösterreich;AT;https://www.jku.at/institut-fuer-soziologie/abteilungen/gesellschaftstheorie-und-sozialanalysen/team/aulenbacher/;24.05.26;Lukas
Katrin;Auspurg;Auspurg, Katrin;FALSCH;FALSCH;0000-0003-4504-0391;WAHR;WAHR;;F;Prof;Ludwig-Maximilians-Universität München;Uni;Munich;Bayern;DE;https://www.soziologie.lmu.de/de/das-institut/personen/kontaktseite/katrin-auspurg-d92c4926.html;24.05.26;Lukas
Tina;Baier;Baier, Tina;FALSCH;FALSCH;0000-0001-8137-7800;WAHR;WAHR;;F;Postdoc;WZB;Uni;Berlin;Berlin;DE;https://www.wzb.eu/de/personen/tina-baier;24.05.26;Lukas
Karolina;Barglowski;Barglowski, Karolina;FALSCH;FALSCH;0000-0003-0524-5595;WAHR;WAHR;;F;Prof;University of Luxembourg;Uni;Luxembourg;Luxembourg;LU;https://www.uni.lu/fhse-en/people/karolina-barglowski/;24.05.26;Lukas
Eva;Barlösius;Barlösius, Eva;FALSCH;FALSCH;0000-0003-0254-854X;WAHR;WAHR;;F;Prof;Leibniz Universität Hannover;Uni;Hannover;Niedersachsen;DE;https://www.ish.uni-hannover.de/institut/personenverzeichnis/barloesius#c36494;24.05.26;Lukas
Walter;Bartl;Bartl, Walter;FALSCH;FALSCH;0000-0002-1865-4980;WAHR;WAHR;;M;Postdoc;Martin Luther University Halle-Wittenberg;Uni;Halle;Sachsen-Anhalt;DE;https://soziologie.uni-halle.de/professuren/sozialstruktur/bartl/;24.05.26;Lukas
Anne-Luise;Baumann;Baumann, Anne-Luise;FALSCH;FALSCH;0000-0002-2340-6981;FALSCH;FALSCH;;F;Postdoc;Landesministerium für Umwelt- und Klimafragen sowie Wissenschaft;Other;Bremen;Bremen;DE;https://www.linkedin.com/in/anne-luise-baumann-2a83653/;24.05.26;Lukas
Nina;Baur;Baur, Nina;FALSCH;FALSCH;0000-0002-6626-1997;WAHR;WAHR;;F;Prof;Technische Universität Berlin;Uni;Berlin;Berlin;DE;https://www.tu.berlin/mes/nina-baur;24.05.26;Lukas
Birgit;Becker;Becker, Birgit;FALSCH;FALSCH;0000-0001-8034-1267;WAHR;WAHR;;F;Prof;Goethe-Universität Frankfurt am Main;Uni;Frankfurt am Main;Hessen;DE;https://www.fb03.uni-frankfurt.de/45632784/Prof__Dr__Birgit_Becker___Vita;24.05.26;Lukas
Olaf;Behrend;Behrend, Olaf;FALSCH;FALSCH;0000-0003-1606-5186;FALSCH;FALSCH;;M;Postdoc;Universität Siegen;Uni;Siegen;Nordrhein-Westfalen;DE;https://www.uni-siegen.de/person/olaf-behrend;24.05.26;Lukas
Laura;Behrmann;Behrmann, Laura;FALSCH;FALSCH;0000-0002-2675-8122;WAHR;WAHR;;F;Postdoc;Bergische Universität Wuppertal;Uni;Wuppertal;Nordrhein-Westfalen;DE;https://polsoz.uni-wuppertal.de/de/team/ansicht/behrmann/;24.05.26;Lukas
Susanne von;Below;Below, Susanne von;WAHR;FALSCH;;FALSCH;FALSCH;;F;Postdoc;Ministerium für Bildung, Jugend und Sport des Landes Brandenburg;Other;Potsdam;Brandenburg;DE;https://www.linkedin.com/in/susanne-von-below-b6b70651/;24.05.26;Lukas
Henriette;Bering;Bering, Henriette;FALSCH;FALSCH;0009-0008-4649-5682;WAHR;WAHR;;F;Postdoc;University of Bremen;Uni;Bremen;Bremen;DE;https://www.socium.uni-bremen.de/ueber-das-socium/mitglieder/gesamtverzeichnis/henriette-bering/;24.05.26;Lukas
Christiane;Bernard;Bernard, Christiane;WAHR;FALSCH;;FALSCH;FALSCH;;F;Postdoc;IG Metall;Other;Frankfurt am Main;Hessen;DE;https://www.linkedin.com/in/dr-christiane-bernard-798044271/;24.05.26;Lukas
Janine;Bernhardt;Bernhardt, Janine;FALSCH;FALSCH;0000-0001-9993-0723;WAHR;WAHR;;F;Postdoc;Deutsches Jugendinstitut;Forschungszentrum;Munich;Bayern;DE;https://www.dji.de/ueber-uns/mitarbeitende/detailansicht/mitarbeiter/janine-bernhardt.html;24.05.26;Lukas
Ina;Berninger;Berninger, Ina;WAHR;FALSCH;;FALSCH;FALSCH;;F;Postdoc;Universität Köln;Uni;Köln;Nordrhein-Westfalen;DE;https://www.waxmann.com/autorinnen/Ina-Berninger;24.05.26;Lukas
Sigrid;Betzelt;Betzelt, Sigrid;FALSCH;FALSCH;0009-0008-3103-0647;FALSCH;FALSCH;;F;Prof;Berlin School of Economics and Law;Hochschule;Berlin;Berlin;DE;https://www.hwr-berlin.de/hwr-berlin/ueber-uns/person/detail/2026-sigrid-betzelt;24.05.26;Lukas
Barbara;Binder;Binder, Barbara;FALSCH;FALSCH;0000-0001-8258-1627;WAHR;WAHR;;F;Postdoc;GESIS - Leibniz-Institute for the Social Sciences;Forschungszentrum;Mannheim;Baden-Württemberg;DE;https://www.gesis.org/institut/ueber-uns/mitarbeitendenverzeichnis/person/Barbara.Binder;24.05.26;Lukas
Lara;Bister;Bister, Lara;FALSCH;FALSCH;0000-0001-5915-757X;WAHR;WAHR;;F;Postdoc;WZB Berlin Social Science Center;Forschungszentrum;Berlin;Berlin;DE;https://cms.wzb.eu/de/personen/lara-bister;24.05.26;Lukas
Jörg;Blasius;Blasius, Jörg;WAHR;FALSCH;;FALSCH;FALSCH;;M;Prof;Universität Bonn;Uni;Bonn;Nordrhein-Westfalen;DE;https://www.uni-bonn.de/de/forschung-lehre/forschungsprofil/transdisziplinaere-forschungsbereiche/tra-4-individuals/mitgliederverzeichnis/joerg-blasius;24.05.26;Lukas
Uwe;Blien;Blien, Uwe;FALSCH;FALSCH;0000-0003-4617-3452;FALSCH;FALSCH;;M;Prof;University of Bamberg;Uni;Bamberg;Bayern;DE;https://www.blien.de/uwe/cv.htm;24.05.26;Lukas
Hans-Peter;Blossfeld;Blossfeld, Hans-Peter;FALSCH;FALSCH;0000-0002-9298-139X;WAHR;FALSCH;ruhestand;M;Prof;University of Bamberg;Uni;Bamberg;Bayern;DE;https://www.uni-bamberg.de/sozungleichheit/team/prof-dr-dr-hans-peter-blossfeld-emeritus-of-excellence/;24.05.26;Lukas
Manuela;Boatca;Boatca, Manuela;FALSCH;FALSCH;0000-0003-1255-9955;WAHR;WAHR;;F;Prof;University of Freiburg;Uni;Freiburg;Baden-Württemberg;DE;https://uni-freiburg.de/soziologie/personen/manuela-boatca/;24.05.26;Lukas
Mara;Boehle;Boehle, Mara;WAHR;FALSCH;;FALSCH;FALSCH;;F;Postdoc;Deutschen Vereinigung für Rehabilitation (DVfR);Other;Heidelberg;Baden-Württemberg;DE;https://www.dvfr.de/die-dvfr/geschaeftsstelle;24.05.26;Lukas
Sebastian;Böhm;Böhm, Sebastian;FALSCH;WAHR;;FALSCH;FALSCH;;M;Postdoc;FernUniversität in Hagen;Uni;Hagen;Nordrhein-Westfalen;DE;https://www.fernuni-hagen.de/philosophie/lg2/team/sebastian.boehm.shtml;24.05.26;Lukas
Petra;Böhnke;Böhnke, Petra;FALSCH;FALSCH;0000-0002-6553-1844;FALSCH;FALSCH;;F;Prof;Universität Hamburg;Uni;Hamburg;Hamburg;DE;https://www.wiso.uni-hamburg.de/fachbereich-sozoek/professuren/boehnke/team/01-boehnke-petra.html;24.05.26;Lukas
Lisa;Bonfert;Bonfert, Lisa;FALSCH;FALSCH;0000-0001-7438-3460;WAHR;WAHR;;F;Postdoc;University of Luxembourg;Uni;Luxembourg;Luxembourg;LU;https://www.uni.lu/fhse-en/people/lisa-bonfert/;24.05.26;Lukas
Christiane;Bozoyan;Bozoyan, Christiane;FALSCH;FALSCH;0000-0003-0205-6924;WAHR;WAHR;;F;Postdoc;Ludwig-Maximilians-Universität München;Uni;Munich;Bayern;DE;https://www.soziologie.lmu.de/de/das-institut/personen/kontaktseite/christiane-bozoyan-c8cbed3a.html;24.05.26;Lukas
Kai;Brauer;Brauer, Kai;FALSCH;FALSCH;0000-0001-7895-243X;FALSCH;FALSCH;;M;Prof;Hochschule Neubrandenburg;Hochschule;Neubrandenburg;Mecklenburg-Vorpommern;DE;https://www.hs-nb.de/fachbereich-soziale-arbeit-bildung-und-erziehung/ppages/vita/;24.05.26;Lukas
